混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/text/TextFormatting,net/minecraft/server/v1_13_R2/EnumChatFormat,,,
aa$a,net/minecraft/advancements/criterion/BrewedPotionTrigger$Listeners,net/minecraft/server/v1_13_R2/CriterionTriggerBrewedPotion$a,,,
aa$b,net/minecraft/advancements/criterion/BrewedPotionTrigger$Instance,net/minecraft/server/v1_13_R2/CriterionTriggerBrewedPotion$b,,,
aa,net/minecraft/advancements/criterion/BrewedPotionTrigger,net/minecraft/server/v1_13_R2/CriterionTriggerBrewedPotion,,,
aaa,net/minecraft/util/datafix/fixes/PotionItems,net/minecraft/server/v1_13_R2/DataConverterPotionId,,,
aab$1,net/minecraft/util/datafix/fixes/ItemRename$1,net/minecraft/server/v1_13_R2/DataConverterItemName$1,,,
aab,net/minecraft/util/datafix/fixes/ItemRename,net/minecraft/server/v1_13_R2/DataConverterItemName,,,
aac,net/minecraft/util/datafix/fixes/ShulkerBoxItemColor,net/minecraft/server/v1_13_R2/DataConverterShulkerBoxItem,,,
aad,net/minecraft/util/datafix/fixes/SpawnEggNames,net/minecraft/server/v1_13_R2/DataConverterSpawnEgg,,,
aae,net/minecraft/util/datafix/fixes/ItemStackEnchantmentFix,net/minecraft/server/v1_13_R2/DataConverterItemStackEnchantment,,,
aaf,net/minecraft/util/datafix/fixes/ItemFilledMapMetadata,net/minecraft/server/v1_13_R2/DataConverterMap,,,
aag,net/minecraft/util/datafix/fixes/ItemSpawnEggSplit,net/minecraft/server/v1_13_R2/DataConverterFlattenSpawnEgg,,,
aah,net/minecraft/util/datafix/fixes/ItemStackDataFlattening,net/minecraft/server/v1_13_R2/DataConverterFlatten,,,
aai,net/minecraft/util/datafix/fixes/PotionWater,net/minecraft/server/v1_13_R2/DataConverterPotionWater,,,
aaj,net/minecraft/util/datafix/fixes/BookPagesStrictJSON,net/minecraft/server/v1_13_R2/DataConverterBook,,,
aak$a,net/minecraft/util/datafix/fixes/LeavesFix$LeavesSection,net/minecraft/server/v1_13_R2/DataConverterLeaves$a,,,
aak$b,net/minecraft/util/datafix/fixes/LeavesFix$Section,net/minecraft/server/v1_13_R2/DataConverterLeaves$b,,,
aak,net/minecraft/util/datafix/fixes/LeavesFix,net/minecraft/server/v1_13_R2/DataConverterLeaves,,,
aal,net/minecraft/util/datafix/fixes/LevelDataGeneratorOptionsFix,net/minecraft/server/v1_13_R2/DataConverterLevelDataGeneratorOptions,,,
aam,net/minecraft/util/datafix/fixes/BlockStateFlattenGenOptions,net/minecraft/server/v1_13_R2/DataConverterWorldGenSettings,,,
aan,net/minecraft/util/datafix/fixes/SpawnerEntityTypes,net/minecraft/server/v1_13_R2/DataConverterMobSpawner,,,
aao,net/minecraft/util/datafix/fixes/NamedEntityFix,net/minecraft/server/v1_13_R2/DataConverterNamedEntity,,,
aap,net/minecraft/util/datafix/fixes/ObjectiveDisplayName,net/minecraft/server/v1_13_R2/DataConverterObjectiveDisplayName,,,
aaq,net/minecraft/util/datafix/fixes/ObjectiveRenderType,net/minecraft/server/v1_13_R2/DataConverterObjectiveRenderType,,,
aar,net/minecraft/util/datafix/fixes/ForceVBOOn,net/minecraft/server/v1_13_R2/DataConverterVBO,,,
aas,net/minecraft/util/datafix/fixes/LWJGL3KeyOptions,net/minecraft/server/v1_13_R2/DataConverterKeybind,,,
aat,net/minecraft/util/datafix/fixes/KeyOptionsTranslation,net/minecraft/server/v1_13_R2/DataConverterKeybind2,,,
aau,net/minecraft/util/datafix/fixes/OptionsLowerCaseLanguage,net/minecraft/server/v1_13_R2/DataConverterLang,,,
aav,net/minecraft/util/datafix/fixes/RenamedRecipes,net/minecraft/server/v1_13_R2/DataConverterRecipes,,,
aaw,net/minecraft/util/datafix/fixes/RecipesRenaming,net/minecraft/server/v1_13_R2/DataConverterRecipeRename,,,
aax,net/minecraft/util/datafix/TypeReferences,net/minecraft/server/v1_13_R2/DataConverterTypes,,,
aay,net/minecraft/util/datafix/fixes/CoralFansRenameList,net/minecraft/server/v1_13_R2/DataConverterCoralFan,,,
aaz,net/minecraft/util/datafix/fixes/RenamedCoral,net/minecraft/server/v1_13_R2/DataConverterCoral,,,
ab$a,net/minecraft/advancements/criterion/ChangeDimensionTrigger$Listeners,net/minecraft/server/v1_13_R2/CriterionTriggerChangedDimension$a,,,
ab$b,net/minecraft/advancements/criterion/ChangeDimensionTrigger$Instance,net/minecraft/server/v1_13_R2/CriterionTriggerChangedDimension$b,,,
ab,net/minecraft/advancements/criterion/ChangeDimensionTrigger,net/minecraft/server/v1_13_R2/CriterionTriggerChangedDimension,,,
aba,net/minecraft/util/datafix/fixes/BlockStateFlattenVillageCrops,net/minecraft/server/v1_13_R2/DataConverterVillage,,,
abb,net/minecraft/util/datafix/fixes/EntityRenameHelper,net/minecraft/server/v1_13_R2/DataConverterEntityNameAbstract,,,
abc,net/minecraft/util/datafix/fixes/TypedEntityRenameHelper,net/minecraft/server/v1_13_R2/DataConverterEntityRenameAbstract,,,
abd,net/minecraft/util/datafix/fixes/StatsRenaming,net/minecraft/server/v1_13_R2/DataConverterStatistic,,,
abe,net/minecraft/util/datafix/fixes/SwimStatsRename,net/minecraft/server/v1_13_R2/DataConverterSwimStats,,,
abf,net/minecraft/util/datafix/fixes/TeamDisplayName,net/minecraft/server/v1_13_R2/DataConverterTeamDisplayName,,,
abg$a,net/minecraft/util/datafix/fixes/TrappedChestTileEntitySplit$Section,net/minecraft/server/v1_13_R2/DataConverterTrappedChest$a,,,
abg,net/minecraft/util/datafix/fixes/TrappedChestTileEntitySplit,net/minecraft/server/v1_13_R2/DataConverterTrappedChest,,,
abh,net/minecraft/util/datafix/fixes/VillagerTrades,net/minecraft/server/v1_13_R2/DataConverterVillagerTrade,,,
abi,net/minecraft/util/datafix/WriteAndReadDataFix,net/minecraft/server/v1_13_R2/DataConverterShoulderEntity,,,
abl,net/minecraft/util/datafix/NamespacedSchema,net/minecraft/server/v1_13_R2/DataConverterSchemaNamed,,,
abm,net/minecraft/util/datafix/versions/V0100,net/minecraft/server/v1_13_R2/DataConverterSchemaV100,,,
abn,net/minecraft/util/datafix/versions/V0102,net/minecraft/server/v1_13_R2/DataConverterSchemaV102,,,
abo,net/minecraft/util/datafix/versions/V1022,net/minecraft/server/v1_13_R2/DataConverterSchemaV1022,,,
abp,net/minecraft/util/datafix/versions/V0106,net/minecraft/server/v1_13_R2/DataConverterSchemaV106,,,
abq,net/minecraft/util/datafix/versions/V0107,net/minecraft/server/v1_13_R2/DataConverterSchemaV107,,,
abr,net/minecraft/util/datafix/versions/V1125,net/minecraft/server/v1_13_R2/DataConverterSchemaV1125,,,
abs,net/minecraft/util/datafix/versions/V0135,net/minecraft/server/v1_13_R2/DataConverterSchemaV135,,,
abt,net/minecraft/util/datafix/versions/V0143,net/minecraft/server/v1_13_R2/DataConverterSchemaV143,,,
abu,net/minecraft/util/datafix/versions/V1451,net/minecraft/server/v1_13_R2/DataConverterSchemaV1451,,,
abv,net/minecraft/util/datafix/versions/V1451_1,net/minecraft/server/v1_13_R2/DataConverterSchemaV1451_1,,,
