owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
a,a,BLACK,BLACK,,,,enum,
a,b,DARK_BLUE,DARK_BLUE,,,,enum,
a,c,DARK_GREEN,DARK_GREEN,,,,enum,
a,d,DARK_AQUA,DARK_AQUA,,,,enum,
a,e,DARK_RED,DARK_RED,,,,enum,
a,f,DARK_PURPLE,DARK_PURPLE,,,,enum,
a,g,GOLD,GOLD,,,,enum,
a,h,GRAY,GRAY,,,,enum,
a,i,DARK_GRAY,DARK_GRAY,,,,enum,
a,j,BLUE,BLUE,,,,enum,
a,k,GREEN,GREEN,,,,enum,
a,l,AQUA,AQUA,,,,enum,
a,m,RED,RED,,,,enum,
a,n,LIGHT_PURPLE,LIGHT_PURPLE,,,,enum,
a,o,YELLOW,YELLOW,,,,enum,
a,p,WHITE,WHITE,,,,enum,
a,q,OBFUSCATED,OBFUSCATED,,,,enum,
a,r,BOLD,BOLD,,,,enum,
a,s,STRIKETHROUGH,STRIKETHROUGH,,,,enum,
a,t,UNDERLINE,UNDERLINE,,,,enum,
a,u,ITALIC,ITALIC,,,,enum,
a,v,RESET,RESET,,,,enum,
a,w,field_96331_x,,,,,field,"private static final Map<String, EnumChatFormat>"
a,x,field_96330_y,,,,,field,private static final Pattern
a,y,field_175748_y,,,,,field,private final String
a,z,field_96329_z,character,,,,field,private final char
a,A,field_96303_A,,,,,field,private final boolean
a,B,field_96304_B,,,,,field,private final String
a,C,field_175747_C,,,,,field,private final int
a,D,field_211167_D,,,,,field,private final Integer
aa$a,a,field_192350_a,,,,,field,private final AdvancementDataPlayer
aa$a,b,field_192351_b,,,,,field,private final Set<CriterionTrigger$a<CriterionTriggerBrewedPotion$b>>
aa$b,a,field_192251_a,,,,,field,private final PotionRegistry
aa,a,field_192176_a,,,,,field,private static final MinecraftKey
aa,b,field_192177_b,,,,,field,"private final Map<AdvancementDataPlayer, CriterionTriggerBrewedPotion$a>"
aaa,a,field_188223_a,,,,,field,private static final String[]
aab,a,field_206356_a,,,,,field,private final String
aac,a,field_191278_a,,,,,field,public static final String[]
aad,a,field_188226_a,ID_MAPPING,,,,field,private static final String[]
aae,a,field_208047_a,,,,,field,private static final it.unimi.dsi.fastutil.ints.Int2ObjectMap<String>
aag,a,field_199421_a,,,,,field,"private static final Map<String, String>"
aah,a,field_199176_a,,,,,field,"private static final Map<String, String>"
aah,b,field_199177_b,,,,,field,private static final Set<String>
aah,c,field_199178_c,,,,,field,private static final Set<String>
aak$a,f,field_212523_f,,,,,field,private it.unimi.dsi.fastutil.ints.IntSet
aak$a,g,field_212524_g,,,,,field,private it.unimi.dsi.fastutil.ints.IntSet
aak$a,h,field_212525_h,,,,,field,private it.unimi.dsi.fastutil.ints.Int2IntMap
aak$b,a,field_208466_a,,,,,field,"final com.mojang.datafixers.types.Type<com.mojang.datafixers.util.Pair<String, com.mojang.datafixers.Dynamic<?>>>"
aak$b,b,field_208468_c,,,,,field,"protected final com.mojang.datafixers.OpticFinder<List<com.mojang.datafixers.util.Pair<String, com.mojang.datafixers.Dynamic<?>>>>"
aak$b,c,field_208469_d,,,,,field,protected final List<com.mojang.datafixers.Dynamic<?>>
aak$b,d,field_208474_i,,,,,field,protected final int
aak$b,e,field_208470_e,,,,,field,protected DataBits
aak,a,field_208425_a,,,,,field,private static final int[][]
aak,b,field_208434_j,,,,,field,private static final it.unimi.dsi.fastutil.objects.Object2IntMap<String>
aak,c,field_208435_k,,,,,field,private static final Set<String>
aal,a,field_210553_a,,,,,field,"static final Map<String, String>"
aam,a,field_199181_a,,,,,field,private static final com.google.common.base.Splitter
aam,b,field_199182_b,,,,,field,private static final com.google.common.base.Splitter
aam,c,field_199183_c,,,,,field,private static final com.google.common.base.Splitter
aam,d,field_199184_d,,,,,field,private static final com.google.common.base.Splitter
aam,e,field_199185_e,,,,,field,private static final com.google.common.base.Splitter
aao,a,field_206373_a,,,,,field,private final String
aao,b,field_206374_b,,,,,field,private final String
aao,c,field_206375_c,,,,,field,private final com.mojang.datafixers.DSL$TypeReference
aas,a,field_199186_a,,,,,field,private static final it.unimi.dsi.fastutil.ints.Int2ObjectMap<String>
aav,a,field_209673_a,,,,,field,"private static final Map<String, String>"
aaw,a,field_211869_a,,,,,field,"private static final Map<String, String>"
aax,a,field_211285_a,,,,,field,public static final com.mojang.datafixers.DSL$TypeReference
aax,b,field_211286_b,PLAYER,,,,field,public static final com.mojang.datafixers.DSL$TypeReference
aax,c,field_211287_c,,,,,field,public static final com.mojang.datafixers.DSL$TypeReference
aax,d,field_211288_d,,,,,field,public static final com.mojang.datafixers.DSL$TypeReference
aax,e,field_211289_e,,,,,field,public static final com.mojang.datafixers.DSL$TypeReference
aax,f,field_211290_f,,,,,field,public static final com.mojang.datafixers.DSL$TypeReference
aax,g,field_211291_g,,,,,field,public static final com.mojang.datafixers.DSL$TypeReference
aax,h,field_211292_h,,,,,field,public static final com.mojang.datafixers.DSL$TypeReference
aax,i,field_211293_i,,,,,field,public static final com.mojang.datafixers.DSL$TypeReference
