owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CI)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CZ)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Ljava/lang/String;CZI)V,private
a,c(String arg0),func_175745_c(String arg0),,,,,method,c(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(),func_175746_b(),,,,,method,b(),()I,int
a,c(),func_96301_b(),isFormat(),,,,method,c(),()Z,boolean
a,d(),func_96302_c(),,,,,method,d(),()Z,boolean
a,e(),func_96297_d(),,,,,method,e(),()Ljava/lang/String;,String
a,a(String arg0),func_110646_a(String arg0),,,,,method,a(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(String arg0),func_96300_b(String arg0),,,,,method,b(String arg0),(Ljava/lang/String;)La;,EnumChatFormat
a,a(int arg0),func_175744_a(int arg0),,,,,method,a(int arg0),(I)La;,EnumChatFormat
a,"a(boolean arg0, boolean arg1)","func_96296_a(boolean arg0, boolean arg1)",,,,,method,"a(boolean arg0, boolean arg1)",(ZZ)Ljava/util/Collection;,Collection<String>
aa,<init>,,,,,,constructor,(),()V,public
aa,c(),func_71517_b(),getCommand(),,,,method,c(),()Ljava/lang/String;,String
aa,a(),func_82362_a(),,,,,method,a(),()I,int
aa,b(n arg0),func_71518_a(ICommandSender arg0),getUsage(ICommandListener arg0),,,,method,b(n arg0),(Ln;)Ljava/lang/String;,String
aa,"a(MinecraftServer arg0, n arg1, String[] arg2)","func_184881_a(MinecraftServer arg0, ICommandSender arg1, String[] arg2)","execute(MinecraftServer arg0, ICommandListener arg1, String[] arg2)",,,,method,"a(MinecraftServer arg0, n arg1, String[] arg2)",(Lnet/minecraft/server/MinecraftServer;Ln;[Ljava/lang/String;)V,void
aa,"a(MinecraftServer arg0, n arg1, String[] arg2, cl arg3)","func_184883_a(MinecraftServer arg0, ICommandSender arg1, String[] arg2, BlockPos arg3)","tabComplete(MinecraftServer arg0, ICommandListener arg1, String[] arg2, BlockPosition arg3)",,,,method,"a(MinecraftServer arg0, n arg1, String[] arg2, cl arg3)",(Lnet/minecraft/server/MinecraftServer;Ln;[Ljava/lang/String;Lcl;)Ljava/util/List;,List<String>
aa,"b(String[] arg0, int arg1)","func_82358_a(String[] arg0, int arg1)","isListStart(String[] arg0, int arg1)",,,,method,"b(String[] arg0, int arg1)",([Ljava/lang/String;I)Z,boolean
aaa,<init>,,,,,,constructor,(arg0),(Laht;)V,public
aaa,<init>,,,,,,constructor,"(arg0, arg1)",(Laht;Lsa;)V,public
aaa,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Laht;DDD)V,public
aaa,a(bbg arg0),func_70184_a(RayTraceResult arg0),,,,,method,a(bbg arg0),(Lbbg;)V,void
aaa,m(),func_70071_h_(),,,,,method,m(),()V,void
aab,<init>,,,,,,constructor,(arg0),(Laht;)V,public
aab,<init>,,,,,,constructor,"(arg0, arg1)",(Laht;Lsa;)V,public
aab,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Laht;DDD)V,public
aab,j(),func_70185_h(),,,,,method,j(),()F,float
aab,a(bbg arg0),func_70184_a(RayTraceResult arg0),,,,,method,a(bbg arg0),(Lbbg;)V,void
aac,<init>,,,,,,constructor,(arg0),(Laht;)V,public
aac,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Laht;Lsa;Ladq;)V,public
aac,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4)",(Laht;DDDLadq;)V,public
aac,i(),func_70088_a(),,,,,method,i(),()V,void
aac,l(),func_184543_l(),getItem(),,,,method,l(),()Ladq;,ItemStack
aac,a(adq arg0),func_184541_a(ItemStack arg0),setItem(ItemStack arg0),,,,method,a(adq arg0),(Ladq;)V,void
aac,j(),func_70185_h(),,,,,method,j(),()F,float
aac,a(bbg arg0),func_70184_a(RayTraceResult arg0),,,,,method,a(bbg arg0),(Lbbg;)V,void
aac,n(),func_184544_n(),isLingering(),,,,method,n(),()Z,boolean
aac,a(cl arg0),func_184542_a(BlockPos arg0),,,,,method,a(cl arg0),(Lcl;)V,void
aac,a(dq arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(dq arg0),(Ldq;)V,void
aac,b(dq arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(dq arg0),(Ldq;)V,void
aad,<init>,,,,,,constructor,(arg0),(Laht;)V,public
aad,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Laht;DDD)V,public
aad,<init>,,,,,,constructor,"(arg0, arg1)",(Laht;Lsa;)V,public
aad,a(adq arg0),func_184555_a(ItemStack arg0),,,,,method,a(adq arg0),(Ladq;)V,void
aad,a(rl arg0),func_184558_a(PotionEffect arg0),,,,,method,a(rl arg0),(Lrl;)V,void
aad,i(),func_70088_a(),,,,,method,i(),()V,void
aad,m(),func_70071_h_(),,,,,method,m(),()V,void
aad,b(int arg0),func_184556_b(int arg0),,,,,method,b(int arg0),(I)V,void
aad,n(),func_184557_n(),,,,,method,n(),()I,int
aad,b(dq arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(dq arg0),(Ldq;)V,void
aad,a(dq arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(dq arg0),(Ldq;)V,void
aad,a(sa arg0),func_184548_a(EntityLivingBase arg0),,,,,method,a(sa arg0),(Lsa;)V,void
aad,j(),func_184550_j(),,,,,method,j(),()Ladq;,ItemStack
aad,a(byte arg0),func_70103_a(byte arg0),,,,,method,a(byte arg0),(B)V,void
aae,<init>,,,,,,constructor,(arg0),(Laht;)V,public
aae,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4)",(Laht;Lsa;DDD)V,public
aae,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4, arg5, arg6)",(Laht;DDDDDD)V,public
aae,l(),func_82341_c(),,,,,method,l(),()F,float
aae,aH(),func_70027_ad(),isBurning(),,,,method,aH(),()Z,boolean
aae,"a(ahp arg0, aht arg1, cl arg2, ard arg3)","func_180428_a(Explosion arg0, World arg1, BlockPos arg2, IBlockState arg3)",,,,,method,"a(ahp arg0, aht arg1, cl arg2, ard arg3)",(Lahp;Laht;Lcl;Lard;)F,float
aae,a(bbg arg0),func_70227_a(RayTraceResult arg0),,,,,method,a(bbg arg0),(Lbbg;)V,void
aae,ap(),func_70067_L(),isInteractable(),,,,method,ap(),()Z,boolean
