owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
a,a,BLACK,BLACK,,,,enum,
a,b,DARK_BLUE,DARK_BLUE,,,,enum,
a,c,DARK_GREEN,DARK_GREEN,,,,enum,
a,d,DARK_AQUA,DARK_AQUA,,,,enum,
a,e,DARK_RED,DARK_RED,,,,enum,
a,f,DARK_PURPLE,DARK_PURPLE,,,,enum,
a,g,GOLD,GOLD,,,,enum,
a,h,GRAY,GRAY,,,,enum,
a,i,DARK_GRAY,DARK_GRAY,,,,enum,
a,j,BLUE,BLUE,,,,enum,
a,k,GREEN,GREEN,,,,enum,
a,l,AQUA,AQUA,,,,enum,
a,m,RED,RED,,,,enum,
a,n,LIGHT_PURPLE,LIGHT_PURPLE,,,,enum,
a,o,YELLOW,YELLOW,,,,enum,
a,p,WHITE,WHITE,,,,enum,
a,q,OBFUSCATED,OBFUSCATED,,,,enum,
a,r,BOLD,BOLD,,,,enum,
a,s,STRIKETHROUGH,STRIKETHROUGH,,,,enum,
a,t,UNDERLINE,UNDERLINE,,,,enum,
a,u,ITALIC,ITALIC,,,,enum,
a,v,RESET,RESET,,,,enum,
a,w,field_96331_x,,,,,field,"private static final Map<String, EnumChatFormat>"
a,x,field_96330_y,,,,,field,private static final Pattern
a,y,field_175748_y,,,,,field,private final String
a,z,field_96329_z,character,,,,field,private final char
a,A,field_96303_A,,,,,field,private final boolean
a,B,field_96304_B,,,,,field,private final String
a,C,field_175747_C,,,,,field,private final int
aa$a,a,field_192362_a,,,,,field,private final AdvancementDataPlayer
aa$a,b,field_192363_b,,,,,field,private final Set<CriterionTrigger$a<CriterionTriggerCuredZombieVillager$b>>
aa$b,a,field_192255_a,,,,,field,private final CriterionConditionEntity
aa$b,b,field_192256_b,,,,,field,private final CriterionConditionEntity
aa,a,field_192186_a,,,,,field,private static final MinecraftKey
aa,b,field_192187_b,,,,,field,"private final Map<AdvancementDataPlayer, CriterionTriggerCuredZombieVillager$a>"
aab,bB,field_184757_bz,,,,,field,private static final DataWatcherObject<Integer>
aab,bC,field_175545_bm,,,,,field,private PathfinderGoalAvoidTarget<EntityHuman>
aab,bD,field_70914_e,,,,,field,private PathfinderGoalTempt
aac,bG,field_192013_bG,,,,,field,private static final DataWatcherObject<Integer>
aac,bH,field_192014_bH,,,,,field,private static final com.google.common.base.Predicate<EntityInsentient>
aac,bI,field_192015_bI,,,,,field,private static final Item
aac,bJ,field_192016_bJ,,,,,field,private static final Set<Item>
aac,bK,field_192017_bK,,,,,field,private static final it.unimi.dsi.fastutil.ints.Int2ObjectMap<SoundEffect>
aac,bB,field_192008_bB,,,,,field,public float
aac,bC,field_192009_bC,,,,,field,public float
aac,bD,field_192010_bD,,,,,field,public float
aac,bE,field_192011_bE,,,,,field,public float
aac,bF,field_192012_bF,,,,,field,public float
aac,bL,field_192018_bL,,,,,field,private boolean
aac,bM,field_192019_bM,,,,,field,private BlockPosition
aad,bx,field_184763_bv,,,,,field,private static final DataWatcherObject<Boolean>
aad,by,field_191520_bx,,,,,field,private static final DataWatcherObject<Integer>
aad,bz,field_184764_bw,,,,,field,private static final Set<Item>
aad,bB,field_184765_bx,,,,,field,private boolean
aad,bC,field_184766_bz,,,,,field,private int
aad,bD,field_184767_bA,,,,,field,private int
aae$b,a,field_190101_a,,,,,field,public boolean
aae,bx,field_189798_bx,,,,,field,private static final DataWatcherObject<Boolean>
aae,by,field_189799_by,,,,,field,private float
aae,bz,field_189800_bz,,,,,field,private float
aae,bB,field_189797_bB,,,,,field,private int
aaf$b,c,field_179511_d,,,,,field,private final EntityRabbit
aaf$c,a,field_179427_a,,,,,field,public int
aaf$d,c,field_180070_c,,,,,field,private final EntityRabbit
aaf$d,d,field_180068_d,,,,,field,private boolean
aaf$e,i,field_179929_g,,,,,field,private final EntityRabbit
aaf$e,j,field_188492_j,,,,,field,private double
aaf$f,f,field_179486_b,,,,,field,private final EntityRabbit
aaf$g,c,field_179500_c,,,,,field,private final EntityRabbit
aaf$g,d,field_179498_d,,,,,field,private boolean
aaf$g,e,field_179499_e,,,,,field,private boolean
aaf,bx,field_184773_bv,,,,,field,private static final DataWatcherObject<Integer>
aaf,by,field_175540_bm,,,,,field,private int
aaf,bz,field_175535_bn,,,,,field,private int
aaf,bB,field_175537_bp,,,,,field,private boolean
aaf,bC,field_175538_bq,,,,,field,private int
aaf,bD,field_175541_bs,,,,,field,private int
aag,bx,field_184774_bv,,,,,field,private static final DataWatcherObject<Byte>
aag,by,field_90016_e,container,,,,field,private final InventoryCrafting
aag,bz,field_175514_bm,,,,,field,"private static final Map<EnumColor, float[]>"
aag,bB,field_70899_e,,,,,field,private int
aag,bC,field_146087_bs,,,,,field,private PathfinderGoalEatTile
aah,bB,field_191996_bB,,,,,field,private int
aai,a,field_184749_a,,,,,field,private static final DataWatcherObject<Byte>
aaj$a,a,field_179476_a,,,,,field,private final EntitySquid
aaj,a,field_70861_d,,,,,field,public float
aaj,b,field_70862_e,,,,,field,public float
aaj,c,field_70859_f,,,,,field,public float
aaj,bv,field_70860_g,,,,,field,public float
